关键词,标题,链接
"单板、信号、AC电容、反焊盘","相同单板，相同信号的AC电容，为啥反焊盘不同？","https://mp.weixin.qq.com/s/3xQ_OlnhZCBm9rmDw7yKdA"
"CST、EMC仿真、带状线、微带线、抗干扰","CST EMC仿真 | CST详解为啥带状线比微带线更“抗干扰”？","https://mp.weixin.qq.com/s?__biz=Mzk0MzQyODkyOQ==&mid=2247488099&idx=1&sn=895e04d5fce3f9ad3553262bd5f80831&chksm=c25444fd2b65b049df2368a6cbe4f494650062890ca30978a225d853be7bc618c55e95f5ae68&mpshare=1&scene=24&srcid=1211SLBukSfXW9ZK5kHcAvO1&sharer_shareinfo=a5f26c69d3a38023d7e96d422119328e&sharer_shareinfo_first=a5f26c69d3a38023d7e96d422119328e#rd"
"PCB加工、流胶、阻抗","PCB加工中的“流胶”到底是怎么影响阻抗的？","https://mp.weixin.qq.com/s?__biz=MzA5MTExODk3Nw==&mid=2650575687&idx=1&sn=f3a155f2230911a7071e0c044de0ca82&chksm=89d2d69e8571f5d74bbdafad7265c03a4a8c163173aeb0170fa44a7c902bda8cc55a96c3ec71&mpshare=1&scene=24&srcid=12088DC9vIe8BcjlY4ilPgo3&sharer_shareinfo=f4ab31a5cc73913e724d9da8227b1b07&sharer_shareinfo_first=f4ab31a5cc73913e724d9da8227b1b07#rd"
"去耦电容、电源管脚、放置","为什么越小的去耦电容越靠近电源管脚放置？","https://mp.weixin.qq.com/s?__biz=MzAxNDAyMzc0Mg==&mid=2683518240&idx=1&sn=06bc00bd4071023d276b22d721033c47&chksm=801bd6a06b28b779b5d5d1ba2068e1031e608fd754f6c92b0828010970059f9901a030d6b2ca&mpshare=1&scene=24&srcid=1112VVThUxy63gMyEUUC0Gbg&sharer_shareinfo=cbae15c2e5e741f1ec84669d7b40e468&sharer_shareinfo_first=cbae15c2e5e741f1ec84669d7b40e468#rd"
"SMD、NSMD","21-SMD与NSMD","https://mp.weixin.qq.com/s?__biz=MzkzMTcwMjMwNQ==&mid=2247493109&idx=1&sn=66361d83a12c6b2d67c293c50d008bc6&chksm=c34923ebef4d35bba3cd5d4708debf6b882ce1c020e799fc8ce17551c9b711f96e90ede36c94&mpshare=1&scene=24&srcid=10154g3oGRqQRJeOxlFrclBT&sharer_shareinfo=b0a72a9ccac05ae5df14052db3ecc6e4&sharer_shareinfo_first=b0a72a9ccac05ae5df14052db3ecc6e4#rd"
